Symbol,Company,Sector,Industry,Date added,Founded,City,State/Country
MMM,3M,Industrials,Industrial Conglomerates,1976-08-09,1902,Saint Paul, Minnesota
AOS,A. O. Smith,Industrials,Building Products,2017-07-26,1916,Milwaukee, Wisconsin
ABT,Abbott,Health Care,Health Care Equipment,1964-03-31,1888,North Chicago, Illinois
ABBV,AbbVie,Health Care,Pharmaceuticals,2012-12-31,2013 (1888),North Chicago, Illinois
ABMD,Abiomed,Health Care,Health Care Equipment,2018-05-31,1981,Danvers, Massachusetts
ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,1989,Dublin, Ireland
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31,2008,Santa Monica, California
ADM,ADM,Consumer Staples,Agricultural Products,1981-07-29,1902,Chicago, Illinois
ADBE,Adobe,Information Technology,Application Software,1997-05-05,1982,San Jose, California
ADP,ADP,Information Technology,Data Processing & Outsourced Services,1981-03-31,1949,Roseland, New Jersey
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,1932,Raleigh, North Carolina
AES,AES,Utilities,Independent Power Producers & Energy Traders,1998-10-02,1981,Arlington, Virginia
AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,1955,Columbus, Georgia
A,Agilent Technologies,Health Care,Health Care Equipment,2000-06-05,1999,Santa Clara, California
AIG,AIG,Financials,Property & Casualty Insurance,1980-03-31,1919,New York City, New York
APD,Air Products,Materials,Industrial Gases,1985-04-30,1940,Allentown, Pennsylvania
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2007-07-12,1998,Cambridge, Massachusetts
ALK,Alaska Air Group,Industrials,Airlines,2016-05-13,1985,Seattle, Washington
ALB,Albemarle,Materials,Specialty Chemicals,2016-07-01,1994,Charlotte, North Carolina
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,1994,Pasadena, California
ALGN,Align,Health Care,Health Care Supplies,2017-06-19,1997,San Jose, California
ALLE,Allegion,Industrials,Building Products,2013-12-02,1908,New York City, New York
LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,1917,Madison, Wisconsin
ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,1931,Northfield Township, Illinois
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,2014-04-03,1998,Mountain View, California
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,2006-04-03,1998,Mountain View, California
MO,Altria,Consumer Staples,Tobacco,1957-03-04,1985,Richmond, Virginia
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,1994,Seattle, Washington
AMCR,Amcor,Materials,Paper Packaging,2019-06-07,2019 (1860),Warmley," Bristol, United Kingdom"
AMD,AMD,Information Technology,Semiconductors,,1969,Santa Clara, California
AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,1902,St. Louis, Missouri
AAL,American Airlines Group,Industrials,Airlines,2015-03-23,1934,Fort Worth, Texas
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,1906,Columbus, Ohio
AXP,American Express,Financials,Consumer Finance,1976-06-30,1850,New York City, New York
AMT,American Tower,Real Estate,Specialized REITs,2007-11-19,1995,Boston, Massachusetts
AWK,American Water,Utilities,Water Utilities,2016-03-04,1886,Camden, New Jersey
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,1894,Minneapolis, Minnesota
ABC,AmerisourceBergen,Health Care,Health Care Distributors,2001-08-30,1985,Chesterbrook, Pennsylvania
AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,1930,Berwyn, Pennsylvania
